epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,937.421,1.04418,0.58001,1.02587,0.7265,0.6004,0.62485,0.40818,0.97779,0.5387,1.02118,0.000973861,0.000973861,0.000973861
44,956.007,0.9834,0.55564,1.02696,0.7098,0.61651,0.62703,0.4148,0.91993,0.50287,1.00188,0.000957358,0.000957358,0.000957358
45,980.049,0.98404,0.5593,1.02795,0.74246,0.64511,0.65014,0.41912,0.91599,0.51359,0.99982,0.000940855,0.000940855,0.000940855
46,1004.76,0.97161,0.55038,1.00741,0.69422,0.62625,0.64225,0.42438,0.88671,0.48773,0.99287,0.000924352,0.000924352,0.000924352
47,1029.15,0.9536,0.54198,1.01153,0.73896,0.62211,0.64272,0.43329,0.88679,0.4949,0.98883,0.000907848,0.000907848,0.000907848
48,1053.75,0.9321,0.53271,0.99588,0.73285,0.63725,0.64974,0.42594,0.89087,0.49004,0.98373,0.000891345,0.000891345,0.000891345
49,1072.24,0.94882,0.54337,0.99148,0.75604,0.62911,0.65506,0.43197,0.88884,0.49395,0.98324,0.000874842,0.000874842,0.000874842
50,1090.9,0.93335,0.52671,1.0052,0.75356,0.62829,0.65625,0.43309,0.89425,0.48088,0.98252,0.000858338,0.000858338,0.000858338
51,1115.18,0.93588,0.52845,0.98836,0.80277,0.62015,0.66443,0.42721,0.9136,0.49424,0.99257,0.000841835,0.000841835,0.000841835
52,1133.66,0.96095,0.54631,1.0044,0.80058,0.63861,0.67487,0.43796,0.883,0.47406,0.9749,0.000825332,0.000825332,0.000825332
53,1158.44,0.90023,0.51103,0.98102,0.7696,0.65176,0.67333,0.44353,0.86715,0.46357,0.97129,0.000808828,0.000808828,0.000808828
54,1177.22,0.93035,0.53903,0.99649,0.77483,0.6427,0.66673,0.44283,0.87074,0.47195,0.97438,0.000792325,0.000792325,0.000792325
55,1195.7,0.90234,0.51795,0.98385,0.75085,0.64519,0.6701,0.44084,0.87579,0.47224,0.97773,0.000775822,0.000775822,0.000775822
56,1214.1,0.89573,0.5087,0.97826,0.72618,0.64784,0.64652,0.43551,0.87434,0.46799,0.96472,0.000759318,0.000759318,0.000759318
57,1232.57,0.89765,0.49837,0.97087,0.77398,0.65792,0.67153,0.44718,0.89416,0.46272,0.97141,0.000742815,0.000742815,0.000742815
58,1251.37,0.92039,0.52215,0.97391,0.77701,0.66352,0.67641,0.44713,0.85133,0.46368,0.96141,0.000726312,0.000726312,0.000726312
59,1275.17,0.87816,0.50106,0.96081,0.7759,0.64402,0.65602,0.4393,0.85169,0.47061,0.95896,0.000709809,0.000709809,0.000709809
60,1293.83,0.88493,0.49556,0.9692,0.76096,0.65818,0.68051,0.44875,0.838,0.45096,0.96314,0.000693305,0.000693305,0.000693305
61,1318.35,0.86914,0.49644,0.96228,0.77193,0.66646,0.68697,0.4493,0.86105,0.46891,0.96672,0.000676802,0.000676802,0.000676802
62,1343,0.86542,0.50131,0.96527,0.74925,0.66026,0.68602,0.45104,0.8298,0.45438,0.95372,0.000660299,0.000660299,0.000660299
63,1367.69,0.84405,0.47894,0.95502,0.79194,0.66794,0.69261,0.45689,0.83023,0.44696,0.9521,0.000643795,0.000643795,0.000643795
64,1386.76,0.8633,0.49558,0.9656,0.79365,0.66699,0.69676,0.45415,0.8497,0.45216,0.95433,0.000627292,0.000627292,0.000627292
65,1405.41,0.87468,0.48663,0.96475,0.81152,0.65592,0.70052,0.46065,0.8368,0.45003,0.9488,0.000610789,0.000610789,0.000610789
66,1424.25,0.84048,0.47136,0.94774,0.77663,0.67527,0.68993,0.46338,0.81307,0.43277,0.9438,0.000594286,0.000594286,0.000594286
67,1449.25,0.85262,0.47305,0.94775,0.78418,0.68286,0.70432,0.46191,0.82988,0.44152,0.94941,0.000577782,0.000577782,0.000577782
68,1468.22,0.82829,0.4668,0.94773,0.78743,0.67176,0.70334,0.46058,0.81246,0.43172,0.94187,0.000561279,0.000561279,0.000561279
69,1486.53,0.83422,0.47115,0.95713,0.77929,0.68485,0.70071,0.46145,0.82817,0.4433,0.95234,0.000544776,0.000544776,0.000544776
70,1505.14,0.83368,0.47054,0.95862,0.77282,0.67838,0.70018,0.46595,0.81791,0.43141,0.94645,0.000528272,0.000528272,0.000528272
71,1529.54,0.83816,0.47664,0.94779,0.80058,0.66209,0.69421,0.46167,0.83312,0.43896,0.95184,0.000511769,0.000511769,0.000511769
72,1548.18,0.82548,0.47262,0.94012,0.83908,0.66623,0.72686,0.47266,0.83585,0.44308,0.94225,0.000495266,0.000495266,0.000495266
73,1572.27,0.8321,0.47006,0.9487,0.81048,0.67688,0.71138,0.46936,0.80882,0.42889,0.9371,0.000478762,0.000478762,0.000478762
74,1590.97,0.83206,0.47854,0.94725,0.81826,0.65959,0.70517,0.46597,0.81944,0.42925,0.94142,0.000462259,0.000462259,0.000462259
75,1609.53,0.81208,0.46927,0.93772,0.81523,0.68578,0.73107,0.47765,0.78825,0.42686,0.93415,0.000445756,0.000445756,0.000445756
76,1633.66,0.81397,0.46444,0.93471,0.82686,0.68996,0.72349,0.47398,0.80608,0.43158,0.93354,0.000429253,0.000429253,0.000429253
77,1652.35,0.81766,0.46781,0.94301,0.81988,0.68605,0.72425,0.47691,0.81745,0.42758,0.93622,0.000412749,0.000412749,0.000412749
78,1670.81,0.81447,0.46564,0.94581,0.79517,0.68313,0.71654,0.47547,0.80174,0.42218,0.93238,0.000396246,0.000396246,0.000396246
79,1689.38,0.79343,0.46348,0.94079,0.83975,0.68221,0.73217,0.48042,0.78221,0.41948,0.93254,0.000379743,0.000379743,0.000379743
80,1713.66,0.79361,0.461,0.93556,0.80936,0.69635,0.72712,0.48164,0.78283,0.41461,0.93174,0.000363239,0.000363239,0.000363239
81,1738.25,0.79467,0.45196,0.93444,0.82278,0.69131,0.72322,0.47904,0.79102,0.41739,0.92815,0.000346736,0.000346736,0.000346736
82,1757,0.78802,0.44888,0.93286,0.81864,0.68885,0.72391,0.48289,0.79131,0.41313,0.92846,0.000330233,0.000330233,0.000330233
83,1781.07,0.79993,0.45195,0.93555,0.80503,0.69978,0.73128,0.48323,0.78919,0.42046,0.93009,0.000313729,0.000313729,0.000313729
84,1805.71,0.78255,0.45294,0.92651,0.81354,0.70732,0.7425,0.48371,0.79629,0.41814,0.92606,0.000297226,0.000297226,0.000297226
85,1830.3,0.78613,0.45511,0.93121,0.8121,0.71131,0.74016,0.48688,0.78306,0.41342,0.92692,0.000280723,0.000280723,0.000280723
86,1854.86,0.78065,0.44437,0.92781,0.80694,0.69842,0.73819,0.48771,0.77607,0.40846,0.92712,0.00026422,0.00026422,0.00026422
87,1879.4,0.77715,0.44752,0.92595,0.81777,0.70863,0.73928,0.48358,0.78009,0.40619,0.92454,0.000247716,0.000247716,0.000247716
88,1897.86,0.78463,0.44251,0.92353,0.81322,0.70871,0.73848,0.49125,0.77945,0.40518,0.92514,0.000231213,0.000231213,0.000231213
89,1922.61,0.75831,0.43137,0.91578,0.82686,0.71067,0.74168,0.48818,0.7812,0.40938,0.92768,0.00021471,0.00021471,0.00021471
90,1940.89,0.778,0.44458,0.91969,0.83414,0.69097,0.73207,0.48559,0.7861,0.40836,0.92587,0.000198206,0.000198206,0.000198206
91,1960.23,0.79519,0.50524,0.92337,0.84153,0.68876,0.73923,0.48003,0.82292,0.44407,0.92816,0.000181703,0.000181703,0.000181703
92,1978.65,0.76239,0.46606,0.91387,0.8186,0.69665,0.73942,0.48598,0.80739,0.44945,0.91713,0.0001652,0.0001652,0.0001652
93,1997.02,0.75066,0.44696,0.91861,0.83141,0.69391,0.74977,0.48787,0.80283,0.43881,0.91294,0.000148696,0.000148696,0.000148696
94,2015.17,0.73717,0.43384,0.9112,0.83967,0.69129,0.74522,0.48946,0.79852,0.43318,0.90951,0.000132193,0.000132193,0.000132193
95,2033.57,0.73059,0.42847,0.91227,0.80076,0.70114,0.73665,0.48732,0.78806,0.42528,0.90838,0.00011569,0.00011569,0.00011569
96,2051.74,0.73539,0.43732,0.91668,0.8127,0.69061,0.72956,0.48717,0.78465,0.41803,0.90921,9.91865e-05,9.91865e-05,9.91865e-05
97,2070.01,0.71663,0.42089,0.90408,0.82652,0.69253,0.73693,0.49157,0.78059,0.41841,0.9073,8.26832e-05,8.26832e-05,8.26832e-05
98,2094.55,0.71473,0.42387,0.90794,0.80072,0.69976,0.73787,0.49132,0.77768,0.41535,0.90653,6.61799e-05,6.61799e-05,6.61799e-05
99,2113.03,0.70839,0.41781,0.9031,0.80702,0.70432,0.74268,0.49079,0.77966,0.414,0.90767,4.96766e-05,4.96766e-05,4.96766e-05
100,2131.48,0.70053,0.41058,0.89696,0.82286,0.70815,0.74498,0.49127,0.78165,0.41363,0.908,3.31733e-05,3.31733e-05,3.31733e-05
